Primary_User	Article1	Article2	Article3	Article4	Article5	Article6	Article7	Article8	Article9	Article10
User_10495.txt	Showbiz_14193.txt	Asia_10005.txt	Asia_14471.txt	World_11784.txt	Singapore_13357.txt	Singapore_9611.txt	World_14870.txt	Asia_13019.txt	Asia_10484.txt	Sports_10440.txt
User_105039.txt	Asia_15187.txt	Asia_13905.txt	Asia_16206.txt	World_12325.txt	Asia_13964.txt	Asia_16165.txt	Asia_15243.txt	Asia_10006.txt	World_14867.txt	Sports_9982.txt
User_10527.txt	Asia_14486.txt	World_9923.txt	Asia_9761.txt	Asia_14475.txt	Asia_14662.txt	Asia_10068.txt	World_11226.txt	Asia_12560.txt	World_9823.txt	Asia_15460.txt
User_10532.txt	Asia_11528.txt	Asia_10005.txt	Showbiz_9148.txt	Singapore_9612.txt	Singapore_13357.txt	Science_9805.txt	World_14788.txt	Asia_10565.txt	Crime_9306.txt	World_13787.txt
User_10540.txt	Crime_10794.txt	Crime_11232.txt	Crime_11598.txt	Crime_12433.txt	Showbiz_12606.txt	Singapore_14739.txt	Singapore_10830.txt	Asia_12691.txt	Crime_15091.txt	Singapore_15748.txt
User_10544.txt	Sports_15551.txt	Sports_11112.txt	Singapore_12866.txt	Asia_10982.txt	Sports_15051.txt	World_10320.txt	Singapore_9593.txt	Asia_16249.txt	Singapore_11534.txt	Sports_9789.txt
User_10557.txt	Sports_13506.txt	World_10975.txt	Asia_11656.txt	World_10322.txt	World_13237.txt	World_13719.txt	Singapore_13284.txt	Asia_10005.txt	Showbiz_12958.txt	Asia_15462.txt
User_105631.txt	World_15966.txt	Singapore_16052.txt	Crime_10405.txt	Science_14966.txt	Singapore_9354.txt	Science_14976.txt	Crime_15128.txt	Sports_9289.txt	Crime_12736.txt	Singapore_10412.txt
User_105862.txt	Asia_15187.txt	Asia_11085.txt	Asia_9777.txt	Asia_15347.txt	World_15514.txt	Asia_15251.txt	Asia_13190.txt	Asia_15829.txt	Asia_15436.txt	Asia_13963.txt
User_10588.txt	Asia_12960.txt	World_13742.txt	Asia_14203.txt	World_14311.txt	Asia_10100.txt	Asia_10108.txt	Asia_9585.txt	Asia_9638.txt	Asia_16205.txt	Asia_10146.txt
User_10589.txt	Singapore_14820.txt	Singapore_14764.txt	Singapore_15545.txt	World_11509.txt	Asia_12547.txt	Asia_12567.txt	Asia_13189.txt	World_15867.txt	World_10460.txt	Singapore_11891.txt
User_10604.txt	Asia_12213.txt	World_13920.txt	Asia_10005.txt	Asia_10565.txt	Asia_10015.txt	Asia_9972.txt	Asia_12267.txt	Asia_10014.txt		
User_106110.txt	Asia_10573.txt	Crime_9310.txt	Crime_13607.txt	Singapore_13357.txt	Singapore_9611.txt	Showbiz_12717.txt	Showbiz_10202.txt	Science_13385.txt	Asia_10016.txt	Asia_15886.txt
User_10616.txt	Asia_10005.txt	World_10351.txt	Asia_15212.txt	World_14068.txt	World_13566.txt	World_14497.txt	Asia_10904.txt	World_13949.txt	World_15974.txt	Singapore_16241.txt
User_106432.txt	Singapore_13445.txt	World_13742.txt	Asia_14204.txt	Showbiz_9632.txt	Asia_12571.txt	Singapore_9610.txt	Showbiz_15449.txt	Asia_12060.txt	World_13896.txt	Asia_10005.txt
