Primary_User	Article1	Article2	Article3	Article4	Article5	Article6	Article7	Article8	Article9	Article10
12366	SGNews/Asia_11707.txt	SGNews/Asia_10152.txt	SGNews/Asia_10199.txt	SGNews/Asia_10048.txt	SGNews/Asia_13158.txt	SGNews/Asia_10082.txt	SGNews/Asia_11466.txt	SGNews/Asia_12010.txt	SGNews/Asia_11468.txt	SGNews/Asia_11527.txt
15763	SGNews/Asia_11580.txt	SGNews/Asia_11772.txt	SGNews/Asia_12264.txt	SGNews/Asia_11304.txt	SGNews/Asia_10908.txt	SGNews/Asia_12510.txt	SGNews/Asia_11789.txt	SGNews/Asia_11687.txt	SGNews/Asia_11395.txt	SGNews/Asia_13630.txt
6836	SGNews/Asia_11707.txt	SGNews/Asia_11478.txt	SGNews/Asia_10083.txt	SGNews/Asia_13337.txt	SGNews/Asia_13589.txt	SGNews/Asia_12504.txt	SGNews/Asia_10048.txt	SGNews/Asia_10150.txt	SGNews/Asia_10195.txt	SGNews/Asia_10785.txt
9234	SGNews/Asia_10908.txt	SGNews/Asia_12726.txt	SGNews/Asia_10121.txt	SGNews/Asia_10579.txt	SGNews/Asia_11468.txt	SGNews/Asia_11528.txt	SGNews/Asia_11792.txt	SGNews/Asia_13905.txt	SGNews/Asia_12158.txt	SGNews/Asia_12960.txt
5345	SGNews/Asia_13555.txt	SGNews/Asia_10376.txt	SGNews/Asia_10356.txt	SGNews/Asia_11533.txt	SGNews/Asia_13603.txt	SGNews/Asia_12512.txt	SGNews/Asia_13658.txt	SGNews/Asia_11675.txt	SGNews/Asia_11504.txt
12351	SGNews/Asia_11707.txt	SGNews/Asia_10083.txt	SGNews/Asia_10151.txt	SGNews/Asia_10198.txt	SGNews/Asia_13801.txt	SGNews/Asia_10858.txt	SGNews/Asia_10565.txt	SGNews/Asia_13979.txt	SGNews/Asia_13302.txt	SGNews/Asia_12940.txt
4536	SGNews/Asia_11707.txt	SGNews/Asia_11478.txt	SGNews/Asia_13591.txt	SGNews/Asia_10048.txt	SGNews/Asia_12512.txt	SGNews/Asia_10788.txt	SGNews/Asia_10699.txt	SGNews/Asia_12502.txt	SGNews/Asia_11373.txt	SGNews/Asia_13314.txt
15044	SGNews/Asia_11707.txt	SGNews/Asia_11792.txt	SGNews/Asia_13338.txt	SGNews/Asia_12126.txt	SGNews/Asia_12512.txt	SGNews/Asia_10645.txt	SGNews/Asia_13653.txt	SGNews/Asia_13575.txt	SGNews/Asia_10699.txt	SGNews/Asia_10083.txt
21959	SGNews/Asia_11478.txt	SGNews/Asia_10048.txt	SGNews/Asia_11688.txt	SGNews/Asia_10082.txt	SGNews/Asia_11954.txt	SGNews/Asia_10292.txt	SGNews/Asia_13654.txt	SGNews/Asia_12858.txt	SGNews/Asia_14105.txt	SGNews/Asia_13574.txt
22411	SGNews/Asia_10508.txt	SGNews/Asia_10199.txt	SGNews/Asia_11688.txt	SGNews/Asia_12504.txt	SGNews/Asia_13336.txt	SGNews/Asia_11504.txt	SGNews/Asia_10048.txt	SGNews/Asia_13574.txt	SGNews/Asia_10786.txt	SGNews/Asia_10151.txt
